expr,canonical,status,coverage,usable_days,mean_ic,icir,mean_rank_ic,rank_icir,positive_rank_ic_ratio,turnover_proxy,quantile_spread,year_rank_ic,score
"Rank(TsMean($ret_1d,10))","Rank(TsMean($ret_1d,10))",OK,0.8888888888888888,80,-0.02854928257609463,-0.2062852817469217,-0.03330812708171398,-0.24301915307863797,0.4125,0.10978199718706048,-0.0015018702646064424,{'2024': -0.03330812708171398},0.008094512834033778
"Rank(TsIr($ret_1d,10))","Rank(TsIr($ret_1d,10))",OK,0.8888888888888888,80,-0.024853889171119393,-0.17354889237457743,-0.030283376887391373,-0.21298079114732094,0.4,0.1100210970464135,-0.0009190065229723491,{'2024': -0.030283376887391373},0.006449777568089108
"SLog1p(TsIr($ret_1d,10))","SLog1p(TsIr($ret_1d,10))",OK,0.8888888888888888,80,-0.027322164922963414,-0.1892243014892076,-0.030283376887391373,-0.21298079114732094,0.4,0.1100210970464135,-0.0009190065229723491,{'2024': -0.030283376887391373},0.006449777568089108
"Rank(TsDiv($ret_1d,10))","Rank(TsDiv($ret_1d,10))",OK,0.8888888888888888,80,0.029499327464999513,0.24530953106397255,0.02604450603367322,0.2195351178543877,0.5375,0.3212517580872011,0.001960766992492766,{'2024': 0.02604450603367322},0.005717683701561762
"SLog1p(TsPctChange($ret_1d,10))","SLog1p(TsPctChange($ret_1d,10))",OK,0.8777777777777778,79,-0.009401493524959646,-0.07154207794793661,-0.014558174991628734,-0.1051112012007966,0.5443037974683544,0.33785612535612536,-0.0010734306804131542,{'2024': -0.014558174991628734},0.0015302272606614934
"Rank(TsPctChange($ret_1d,10))","Rank(TsPctChange($ret_1d,10))",OK,0.8777777777777778,79,-0.01535725796743313,-0.11583153911325413,-0.014558174991628734,-0.1051112012007966,0.5443037974683544,0.33785612535612536,-0.0010734306804131542,{'2024': -0.014558174991628734},0.0015302272606614934
"SLog1p(TsRank($ret_1d,10))","SLog1p(TsRank($ret_1d,10))",OK,0.8888888888888888,80,0.01176389822677143,0.09005196994527767,0.010268519505971064,0.07822267682003954,0.5,0.332485935302391,0.000146144436204642,{'2024': 0.010268519505971064},0.0008032310827358467
"Rank(TsRank($ret_1d,10))","Rank(TsRank($ret_1d,10))",OK,0.8888888888888888,80,0.010159206573245936,0.07815929976473998,0.010268519505971064,0.07822267682003954,0.5,0.332485935302391,0.000146144436204642,{'2024': 0.010268519505971064},0.0008032310827358467
"Rank(TsStd($ret_1d,10))","Rank(TsStd($ret_1d,10))",OK,0.8888888888888888,80,-0.008067392309920651,-0.061163758975914626,-0.009927511509877926,-0.07472296675371663,0.4,0.09501406469760901,-0.0007862003228410615,{'2024': -0.009927511509877926},0.0007418131124997475
"Rank(TsDelta($ret_1d,10))","Rank(TsDelta($ret_1d,10))",OK,0.8777777777777778,79,-0.002923123820448829,-0.028170117916347596,-0.005672515869792892,-0.056097253498816606,0.4936708860759494,0.3338247863247863,0.0005757932127004198,{'2024': -0.005672515869792892},0.000318212560723832
"SLog1p(TsDelta($ret_1d,10))","SLog1p(TsDelta($ret_1d,10))",OK,0.8777777777777778,79,-0.00458749376118675,-0.04493145067207625,-0.005672515869792892,-0.056097253498816606,0.4936708860759494,0.3338247863247863,0.0005757932127004198,{'2024': -0.005672515869792892},0.000318212560723832
"Rank(TsMinMaxDiff($ret_1d,10))","Rank(TsMinMaxDiff($ret_1d,10))",OK,0.8888888888888888,80,0.000302676731797613,0.0020793329419744556,-0.001529257423827295,-0.010505084205522356,0.4875,0.0798663853727145,-9.330457505320743e-06,{'2024': -0.001529257423827295},1.6064978009225926e-05
